,test_BLEU,test_F1_macro,test_F1_micro,test_accuracy,test_dist_edit,test_fn_rate,test_fp_rate,test_loss,test_part_parsed,test_part_subj_ok,test_prec_macro,test_prec_micro,test_recall_macro,test_recall_micro,_runtime,model,fold,test_part_valid_r,test_part_valid_s
32,1,99.9000999000999,99.8468627929688,0.998573482036591,NaN,0.00142653356306255,0,0.000540053064469248,1,1,100,100,99.8015873015873,99.6941909790039,444.329121589661,sample0_train_model_1_V2_bart-base,6,,
33,1,100,100,1,NaN,0,0,5.02697948832065E-05,1,1,100,100,100,100,261.533028125763,sample0_train_model_0_V2_bart-base,6,,
34,1,100,100,1,NaN,0,0,3.5857709008269E-05,1,1,100,100,100,100,454.170112609863,sample0_train_model_1_V2_bart-base,7,,
35,1,99.9014778325123,99.8242492675781,0.998571455478668,NaN,0,0.00142857141327113,0.000363677041605115,1,1,99.8043052837573,99.6491241455078,100,100,656.499382734299,sample0_train_model_0_V2_bart-base,7,,
36,1,85.7142857142857,100,1,NaN,0,0,1.57595059135929E-05,1,1,85.7142857142857,100,85.7142857142857,100,493.745199203491,sample0_train_model_1_V2_bart-base,8,,
37,1,100,100,1,NaN,0,0,3.15757679345552E-05,1,1,100,100,100,100,281.55237698555,sample0_train_model_0_V2_bart-base,8,,
38,1,99.5999632993853,99.6903991699219,0.997146904468536,NaN,0,0.0028530671261251,0.00100911187473685,1,1,99.2146783750982,99.3827133178711,100,100,331.407376289368,sample0_train_model_1_V2_bart-base,9,,
39,1,100,100,1,NaN,0,0,4.67633344669594E-06,1,1,100,100,100,100,361.406611680985,sample0_train_model_0_V2_bart-base,9,,
40,1,77.1106207135285,98.0716247558594,0.980000019073486,NaN,0.00571428565308452,0.0142857143655419,0.0165464039891958,1,1,82.9302422723475,97.2677612304688,76.1904761904762,98.8888854980469,1264.99227523804,sample3_train_model_-_bart-base,0,0.889999985694885,1
41,1,74.1959312460616,97.5109786987305,0.975714266300201,NaN,0.0128571428358555,0.011428571306169,0.0159411001950502,1,1,83.319768687085,97.6539611816406,73.6374067699369,97.3684234619141,459.901172161102,sample3_train_model_-_bart-base,1,0.839999973773956,1
42,1,85.1970886512464,99.5862045288086,0.99571430683136,NaN,0,0.00428571412339807,0.00201749196276069,1,1,84.6940792446011,99.1758270263672,85.7142857142857,100,231.114505529404,sample3_train_model_-_bart-base,2,0.980000019073486,1
43,1,99.54464963319,99.7222213745117,0.997142851352692,NaN,0,0.00285714282654226,0.000277806771919131,1,1,99.1036414565826,99.4459838867188,100,100,264.333714723587,sample3_train_model_-_bart-base,3,0.990000009536743,1
44,1,100,100,1,4,0,0,0.00216541416011751,0.990000009536743,1,100,100,100,100,294.494395494461,sample3_train_model_-_bart-base,4,1,1
45,0.666666686534882,99.3197278911565,99.8631973266602,0.998571455478668,NaN,0.00142857141327113,0,0.000294098252197728,1,1,100,100,98.7012987012987,99.7267761230469,265.154773950577,sample3_train_model_-_bart-base,5,0.990000009536743,1
46,1,99.527040124055,99.7175140380859,0.997142851352692,NaN,0,0.00285714282654226,0.00180640851613134,1,1,99.0696278511405,99.4366226196289,100,100,1063.98843836784,sample3_train_model_-_bart-base,6,0.990000009536743,1
47,1,99.6336996336996,99.8527221679688,0.998571455478668,NaN,0.00142857141327113,0,0.00069661351153627,1,1,100,100,99.2857142857143,99.7058792114258,227.654635429382,sample3_train_model_-_bart-base,7,0.990000009536743,1
48,1,100,100,1,NaN,0,0,8.65525089466246E-06,1,1,100,100,100,100,295.554571151733,sample3_train_model_-_bart-base,8,1,1
49,1,100,100,1,NaN,0,0,0.000116034840175416,1,1,100,100,100,100,227.132971525192,sample3_train_model_-_bart-base,9,1,1
